127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,0,0,0,0,0,0,0,0,0,0,0,0
127529.999999999,127530,127530,127529.999999999,127529.999999999,127529.999999999,127529.999999999,127529.999999999,127529.999999999,127529.999999999,127529.999999999,127529.999999999,-9.6162806412464e-07,-8.73337818095667e-06,-1.21935194432289e-08,0,0,0,0,0,0,0,0,0
127528.166493704,127528.158793164,127527.633691501,127527.696938201,127529.793433725,127529.73339411,127528.751891466,127528.831587952,127524.977864584,127524.75411436,127526.983035905,127526.990898876,-3.83774114608087e-06,-3.47670014639746e-05,-4.86336264388751e-08,158.69233946546,162.483450981154,166.274562496847,170.06567401254,173.856785528233,177.647897043926,181.439008559619,185.230120075312,189.021231591005
127522.697626557,127522.666876578,127520.576680558,127520.828525029,127529.178542858,127528.939501399,127525.027458496,127525.345144827,127509.997694532,127509.106251079,127517.983877964,127518.015172929,-8.60931466428265e-06,-7.77325644068763e-05,-1.0907513450546e-07,631.703966819055,646.824744861169,661.945522903284,677.066301000627,692.187079042742,707.307857140086,722.4286351822,737.549413224315,752.670191321658
127513.666344649,127513.597288207,127508.925939006,127509.489081923,127528.166838597,127527.632434312,127518.871498349,127519.583048904,127485.255171653,127483.26007381,127503.11980078,127503.189734018,-1.52543935746764e-05,-0.000137192465838497,-1.93343097856715e-07,1412.07570038468,1445.98846860997,1479.90123683526,1513.81400506054,1547.7267732306,1581.63954145589,1615.55230968117,1649.46507790646,1683.37784613175
127501.164581273,127501.042028823,127492.80431701,127493.798088539,127526.77356241,127525.830758633,127510.338681011,127511.597118318,127450.991688405,127447.466665032,127482.535269829,127482.658588635,-2.37481667476852e-05,-0.000212642499744752,-3.01330233592567e-07,2491.2196572581,2551.33234648083,2611.44503570356,2671.55772498152,2731.67041420425,2791.78310342697,2851.8957926497,2912.00848192766,2972.12117115039
127485.302613594,127485.111419624,127472.359664243,127473.899328414,127525.017555629,127523.557338266,127499.493221609,127501.448297797,127407.492817049,127402.022939641,127456.401031611,127456.59193138,-3.40630545426552e-05,-0.000303514839425892,-4.32993965002123e-07,3858.97923991486,3952.66642552072,4046.35361107134,4140.0407966772,4233.72798228306,4327.41516783369,4421.10235343955,4514.78953904541,4608.47672459604
127466.208326654,127465.933367343,127447.763824865,127449.959911976,127522.921110023,127520.839157421,127486.408504619,127489.20629932,127355.086555291,127347.269826782,127424.913070883,127425.185106078,-4.61688090250402e-05,-0.000409181297828868,-5.88353106845786e-07,5503.69652047546,5638.31954010582,5772.94255979141,5907.56557942177,6042.18859905213,6176.81161873772,6311.43463836809,6446.05765799845,6580.68067762881
127444.026389468,127443.652541533,127419.211512659,127422.169183016,127520.509800422,127517.707121335,127471.166662051,127474.949198896,127294.141359112,127283.590231222,127388.291441498,127388.6574409,-6.00326262137013e-05,-0.000528956845720288,-7.67484215083555e-07,7412.28661945556,7595.21266061445,7778.13870177333,7961.06474293222,8143.9907840911,8326.91682524999,8509.84286640887,8692.76890756776,8875.69494872664
127418.917348074,127418.42946892,127386.919073038,127390.737515182,127517.812300538,127514.19583701,127453.858108299,127458.762991924,127225.063974909,127211.406786523,127346.778977918,127347.250964617,-7.56192696913752e-05,-0.000662103368229274,-9.70517624989159e-07,9570.31864418279,9808.93869644469,10047.5587487618,10286.1788010237,10524.7988532856,10763.4189056027,11002.0389578646,11240.6590101265,11479.2790624437
127391.056641126,127390.4395504,127351.123139403,127355.895005768,127514.860183023,127510.34337515,127434.581034523,127440.741109811,127148.297083751,127131.179413524,127300.639895032,127301.229011572,-9.28912048608552e-05,-0.000807833639260637,-1.19763320292824e-06,11962.1027210229,12263.8482968534,12565.5938726838,12867.3394485143,13169.0850243448,13470.83060012,13772.5761759504,14074.3217517809,14376.0673276113
127360.633543815,127359.872006483,127312.079191733,127317.890074488,127511.68770516,127506.191014931,127413.440865482,127420.983900769,127064.316771634,127043.402698266,127250.158284497,127250.874723541,-0.000111808743082955,-0.000965315492361477,-1.44905583827785e-06,14570.7826305949,14943.1411649814,15315.4996993678,15687.8582337543,16060.2167681408,16432.5753025272,16804.9338369137,17177.2923713002,17549.6509056866
127327.850046245,127326.928757247,127270.060025759,127276.987975264,127508.33158147,127501.7829732,127390.549682143,127399.598077826,126973.629840409,126948.603104776,127195.636516379,127196.489457191,-0.000132330194890074,-0.00113367616582272,-1.7250507030189e-06,17378.4335249986,17828.9623737543,18279.4912225651,18730.020071376,19180.5489201316,19631.0777689425,20081.6066176981,20532.135466509,20982.6643153198
127292.91967282,127291.823243415,127225.354141489,127233.469229663,127504.830744587,127497.166119656,127366.025613327,127376.696137156,126876.770974943,126847.336038525,127137.39355517,127138.391106296,-0.000154412031431356,-0.00131200679911428,-2.02591830743857e-06,20366.1641914444,20902.503155669,21438.8421198383,21975.1810840076,22511.520048177,23047.8590123463,23584.1979765157,24120.536940685,24656.8759048543
127256.066249289,127254.779195189,127178.264060302,127187.627990878,127501.226095921,127492.38967983,127339.99220005,127352.395750266,126774.299782364,126740.182777228,127075.763199776,127076.912348087,-0.000178009053272173,-0.00149936705719099,-2.35198938113311e-06,23514.223300107,24144.105612905,24773.9879257582,25403.8702385561,26033.7525513541,26663.634864152,27293.51717695,27923.399489748,28553.2818025459
